date,State,Population,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated
2021-07-01,Alaska,738432,652,358963,780,314489
2021-07-02,Alaska,738432,3721,362684,3877,318366
2021-07-03,Alaska,738432,694,363378,717,319083
2021-07-04,Alaska,738432,931,364309,1418,320501
2021-07-05,Alaska,738432,0,364309,0,320501
2021-07-06,Alaska,738432,1936,366245,2487,322988
2021-07-07,Alaska,738432,60,366305,72,323060
2021-07-08,Alaska,738432,611,366916,657,323717
2021-07-09,Alaska,738432,550,367466,686,324403
2021-07-10,Alaska,738432,690,368156,715,325118
2021-07-11,Alaska,738432,546,368702,571,325689
2021-07-12,Alaska,738432,309,369011,253,325942
2021-07-13,Alaska,738432,196,369207,147,326089
2021-07-14,Alaska,738432,429,369636,618,326707
2021-07-15,Alaska,738432,480,370116,582,327289
2021-07-16,Alaska,738432,630,370746,654,327943
2021-07-17,Alaska,738432,416,371162,461,328404
2021-07-18,Alaska,738432,1423,372585,915,329319
2021-07-19,Alaska,738432,177,372762,133,329452
2021-07-20,Alaska,738432,0,372762,0,329452
2021-07-21,Alaska,738432,-1700,371062,139,329591
2021-07-22,Alaska,738432,452,371514,390,329981
2021-07-23,Alaska,738432,618,372132,425,330406
2021-07-24,Alaska,738432,770,372902,487,330893
2021-07-25,Alaska,738432,38,372940,33,330926
2021-07-26,Alaska,738432,1085,374025,535,331461
2021-07-27,Alaska,738432,256,374281,106,331567
2021-07-28,Alaska,738432,455,374736,251,331818
2021-07-29,Alaska,738432,623,375359,318,332136
2021-07-30,Alaska,738432,795,376154,542,332678
2021-07-31,Alaska,738432,728,376882,414,333092
2021-08-01,Alaska,738432,66,376948,34,333126
2021-08-02,Alaska,738432,71,377019,49,333175
2021-08-03,Alaska,738432,1376,378395,704,333879
2021-08-04,Alaska,738432,627,379022,387,334266
2021-08-05,Alaska,738432,837,379859,450,334716
2021-08-06,Alaska,738432,784,380643,447,335163
2021-08-07,Alaska,738432,827,381470,401,335564
2021-08-08,Alaska,738432,149,381619,100,335664
2021-08-09,Alaska,738432,20,381639,10,335674
2021-08-10,Alaska,738432,247,381886,138,335812
2021-08-11,Alaska,738432,722,382608,408,336220
2021-08-12,Alaska,738432,666,383274,402,336622
2021-08-13,Alaska,738432,917,384191,612,337234
2021-08-14,Alaska,738432,780,384971,512,337746
2021-08-15,Alaska,738432,82,385053,61,337807
2021-08-16,Alaska,738432,1126,386179,742,338549
2021-08-17,Alaska,738432,421,386600,323,338872
2021-08-18,Alaska,738432,573,387173,432,339304
2021-08-19,Alaska,738432,818,387991,521,339825
2021-08-20,Alaska,738432,787,388778,552,340377
2021-08-21,Alaska,738432,748,389526,587,340964
2021-08-22,Alaska,738432,113,389639,100,341064
2021-08-23,Alaska,738432,24,389663,15,341079
2021-08-24,Alaska,738432,1290,390953,996,342075
2021-08-25,Alaska,738432,822,391775,576,342651
