date,State,Population,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased
7/1/2021,Alaska,738432,48,0,68482,402
7/2/2021,Alaska,738432,41,1,68523,403
7/3/2021,Alaska,738432,40,1,68563,404
7/4/2021,Alaska,738432,33,0,68596,404
7/5/2021,Alaska,738432,25,0,68621,404
7/6/2021,Alaska,738432,57,1,68678,405
7/7/2021,Alaska,738432,69,1,68747,406
7/8/2021,Alaska,738432,51,2,68798,408
7/9/2021,Alaska,738432,80,3,68878,411
7/10/2021,Alaska,738432,55,3,68933,414
7/11/2021,Alaska,738432,26,2,68959,416
7/12/2021,Alaska,738432,100,1,69059,417
7/13/2021,Alaska,738432,138,0,69197,417
7/14/2021,Alaska,738432,121,0,69318,417
7/15/2021,Alaska,738432,144,2,69462,419
7/16/2021,Alaska,738432,166,2,69628,421
7/17/2021,Alaska,738432,185,1,69813,422
7/18/2021,Alaska,738432,84,1,69897,423
7/19/2021,Alaska,738432,215,1,70112,424
7/20/2021,Alaska,738432,217,4,70329,428
7/21/2021,Alaska,738432,187,4,70516,432
7/22/2021,Alaska,738432,243,3,70759,435
7/23/2021,Alaska,738432,245,0,71004,435
7/24/2021,Alaska,738432,169,1,71173,436
7/25/2021,Alaska,738432,119,1,71292,437
7/26/2021,Alaska,738432,133,1,71425,438
7/27/2021,Alaska,738432,334,3,71759,441
7/28/2021,Alaska,738432,297,4,72056,445
7/29/2021,Alaska,738432,234,1,72290,446
7/30/2021,Alaska,738432,207,3,72497,449
7/31/2021,Alaska,738432,267,2,72764,451
8/1/2021,Alaska,738432,222,2,72986,453
8/2/2021,Alaska,738432,285,1,73271,454
8/3/2021,Alaska,738432,325,3,73596,457
8/4/2021,Alaska,738432,349,7,73945,464
8/5/2021,Alaska,738432,303,3,74248,467
8/6/2021,Alaska,738432,305,4,74553,471
8/7/2021,Alaska,738432,341,1,74894,472
8/8/2021,Alaska,738432,185,1,75079,473
8/9/2021,Alaska,738432,239,2,75318,475
8/10/2021,Alaska,738432,360,3,75678,478
8/11/2021,Alaska,738432,377,1,76055,479
8/12/2021,Alaska,738432,310,4,76365,483
8/13/2021,Alaska,738432,352,5,76717,488
8/14/2021,Alaska,738432,374,1,77091,489
8/15/2021,Alaska,738432,273,3,77364,492
8/16/2021,Alaska,738432,440,5,77804,497
8/17/2021,Alaska,738432,617,4,78421,501
8/18/2021,Alaska,738432,632,4,79053,505
8/19/2021,Alaska,738432,447,0,79500,505
8/20/2021,Alaska,738432,522,6,80022,511
8/21/2021,Alaska,738432,310,3,80332,514
8/22/2021,Alaska,738432,221,0,80553,514
8/23/2021,Alaska,738432,565,6,81118,520
8/24/2021,Alaska,738432,575,6,81693,526
8/25/2021,Alaska,738432,700,5,82393,531
8/26/2021,Alaska,738432,505,7,82898,538
8/27/2021,Alaska,738432,667,6,83565,544
8/28/2021,Alaska,738432,291,1,83856,545
8/29/2021,Alaska,738432,153,0,84009,545
8/30/2021,Alaska,738432,597,7,84606,552
8/31/2021,Alaska,738432,755,7,85361,559
9/1/2021,Alaska,738432,676,2,86037,561
9/2/2021,Alaska,738432,579,7,86616,568
9/3/2021,Alaska,738432,850,5,87466,573
9/4/2021,Alaska,738432,505,2,87971,575
9/5/2021,Alaska,738432,274,4,88245,579
9/6/2021,Alaska,738432,430,8,88675,587
9/7/2021,Alaska,738432,806,10,89481,597
9/8/2021,Alaska,738432,810,11,90291,608
9/9/2021,Alaska,738432,659,3,90950,611
9/10/2021,Alaska,738432,793,4,91743,615
9/11/2021,Alaska,738432,370,4,92113,619
9/12/2021,Alaska,738432,276,1,92389,620
9/13/2021,Alaska,738432,679,9,93068,629
9/14/2021,Alaska,738432,1070,7,94138,636
9/15/2021,Alaska,738432,1031,9,95169,645
9/16/2021,Alaska,738432,878,12,96047,657
9/17/2021,Alaska,738432,900,5,96947,662
9/18/2021,Alaska,738432,640,8,97587,670
9/19/2021,Alaska,738432,512,4,98099,674
9/20/2021,Alaska,738432,834,6,98933,680
9/21/2021,Alaska,738432,1213,11,100146,691
9/22/2021,Alaska,738432,1274,13,101420,704
9/23/2021,Alaska,738432,1719,13,103139,717
9/24/2021,Alaska,738432,1007,14,104146,731
9/25/2021,Alaska,738432,1286,3,105432,734
9/26/2021,Alaska,738432,1548,7,106980,741
9/27/2021,Alaska,738432,697,5,107677,746
9/28/2021,Alaska,738432,967,8,108644,754
9/29/2021,Alaska,738432,1209,7,109853,761
9/30/2021,Alaska,738432,999,6,110852,767
10/1/2021,Alaska,738432,1044,5,111896,772
10/2/2021,Alaska,738432,774,7,112670,779
10/3/2021,Alaska,738432,404,5,113074,784
10/4/2021,Alaska,738432,834,3,113908,787
10/5/2021,Alaska,738432,851,4,114759,791
10/6/2021,Alaska,738432,834,5,115593,796
10/7/2021,Alaska,738432,809,5,116402,801
10/8/2021,Alaska,738432,898,9,117300,810
10/9/2021,Alaska,738432,1048,5,118348,815
10/10/2021,Alaska,738432,769,10,119117,825
10/11/2021,Alaska,738432,464,6,119581,831
10/12/2021,Alaska,738432,1212,14,120793,845
10/13/2021,Alaska,738432,967,11,121760,856
10/14/2021,Alaska,738432,969,4,122729,860
10/15/2021,Alaska,738432,715,3,123444,863
10/16/2021,Alaska,738432,988,11,124432,874
10/17/2021,Alaska,738432,562,2,124994,876
10/18/2021,Alaska,738432,501,5,125495,881
10/19/2021,Alaska,738432,815,7,126310,888
10/20/2021,Alaska,738432,978,4,127288,892
10/21/2021,Alaska,738432,861,8,128149,900
10/22/2021,Alaska,738432,515,4,128664,904
10/23/2021,Alaska,738432,788,5,129452,909
10/24/2021,Alaska,738432,348,3,129800,912
10/25/2021,Alaska,738432,738,7,130538,919
10/26/2021,Alaska,738432,558,5,131096,924
10/27/2021,Alaska,738432,811,5,131907,929
10/28/2021,Alaska,738432,805,5,132712,934
10/29/2021,Alaska,738432,617,9,133329,943
10/30/2021,Alaska,738432,560,1,133889,944
10/31/2021,Alaska,738432,348,0,134237,944
11/1/2021,Alaska,738432,492,0,134729,944
11/2/2021,Alaska,738432,658,6,135387,950
11/3/2021,Alaska,738432,644,4,136031,954
11/4/2021,Alaska,738432,838,1,136869,955
11/5/2021,Alaska,738432,438,4,137307,959
11/6/2021,Alaska,738432,580,2,137887,961
11/7/2021,Alaska,738432,299,0,138186,961
11/8/2021,Alaska,738432,385,0,138571,961
11/9/2021,Alaska,738432,502,5,139073,966
11/10/2021,Alaska,738432,341,5,139414,971
11/11/2021,Alaska,738432,531,0,139945,971
11/12/2021,Alaska,738432,426,6,140371,977
11/13/2021,Alaska,738432,345,0,140716,977
11/14/2021,Alaska,738432,304,5,141020,982
11/15/2021,Alaska,738432,379,2,141399,984
11/16/2021,Alaska,738432,495,3,141894,987
11/17/2021,Alaska,738432,437,1,142331,988
11/18/2021,Alaska,738432,511,0,142842,988
11/19/2021,Alaska,738432,281,2,143123,990
11/20/2021,Alaska,738432,299,0,143422,990
11/21/2021,Alaska,738432,151,1,143573,991
11/22/2021,Alaska,738432,151,1,143724,992
11/23/2021,Alaska,738432,470,0,144194,992
11/24/2021,Alaska,738432,485,3,144679,995
11/25/2021,Alaska,738432,138,2,144817,997
11/26/2021,Alaska,738432,372,2,145189,999
11/27/2021,Alaska,738432,235,0,145424,999
11/28/2021,Alaska,738432,106,1,145530,1000
11/29/2021,Alaska,738432,183,0,145713,1000
11/30/2021,Alaska,738432,334,0,146047,1000
12/1/2021,Alaska,738432,345,1,146392,1001
12/2/2021,Alaska,738432,311,1,146703,1002
12/3/2021,Alaska,738432,303,0,147006,1002
12/4/2021,Alaska,738432,52,0,147058,1002
12/5/2021,Alaska,738432,194,1,147252,1003
12/6/2021,Alaska,738432,189,1,147441,1004
12/7/2021,Alaska,738432,239,0,147680,1004
12/8/2021,Alaska,738432,224,0,147904,1004
12/9/2021,Alaska,738432,211,2,148115,1006
12/10/2021,Alaska,738432,233,0,148348,1006
12/11/2021,Alaska,738432,126,0,148474,1006
12/12/2021,Alaska,738432,57,0,148531,1006
12/13/2021,Alaska,738432,61,1,148592,1007
12/14/2021,Alaska,738432,279,0,148871,1007
12/15/2021,Alaska,738432,251,2,149122,1009
12/16/2021,Alaska,738432,147,1,149269,1010
12/17/2021,Alaska,738432,176,1,149445,1011
12/18/2021,Alaska,738432,96,0,149541,1011
12/19/2021,Alaska,738432,148,0,149689,1011
12/20/2021,Alaska,738432,115,0,149804,1011
12/21/2021,Alaska,738432,111,0,149915,1011
12/22/2021,Alaska,738432,246,0,150161,1011
12/23/2021,Alaska,738432,292,1,150453,1012
12/24/2021,Alaska,738432,109,1,150562,1013
12/25/2021,Alaska,738432,56,0,150618,1013
12/26/2021,Alaska,738432,88,1,150706,1014
12/27/2021,Alaska,738432,476,0,151182,1014
12/28/2021,Alaska,738432,467,1,151649,1015
12/29/2021,Alaska,738432,559,0,152208,1015
12/30/2021,Alaska,738432,801,1,153009,1016
12/31/2021,Alaska,738432,271,0,153280,1016
1/1/2022,Alaska,738432,900,0,154180,1016
1/2/2022,Alaska,738432,223,0,154403,1016
1/3/2022,Alaska,738432,624,0,155027,1016
1/4/2022,Alaska,738432,888,0,155915,1016
1/5/2022,Alaska,738432,1770,1,157685,1017
1/6/2022,Alaska,738432,1735,0,159420,1017
1/7/2022,Alaska,738432,1620,0,161040,1017
1/8/2022,Alaska,738432,811,0,161851,1017
1/9/2022,Alaska,738432,772,0,162623,1017
1/10/2022,Alaska,738432,1963,0,164586,1017
1/11/2022,Alaska,738432,2394,0,166980,1017
1/12/2022,Alaska,738432,2839,0,169819,1017
1/13/2022,Alaska,738432,2504,0,172323,1017
1/14/2022,Alaska,738432,2609,0,174932,1017
1/15/2022,Alaska,738432,2064,1,176996,1018
1/16/2022,Alaska,738432,1333,0,178329,1018
1/17/2022,Alaska,738432,1283,0,179612,1018
1/18/2022,Alaska,738432,2673,0,182285,1018
1/19/2022,Alaska,738432,10181,64,187655,1027
1/20/2022,Alaska,738432,0,0,187655,1027
1/21/2022,Alaska,738432,6478,0,194133,1027
1/22/2022,Alaska,738432,0,0,194133,1027
1/23/2022,Alaska,738432,0,0,194133,1027
1/24/2022,Alaska,738432,5632,19,199765,1046
1/25/2022,Alaska,738432,0,0,199765,1046
1/26/2022,Alaska,738432,5474,7,205239,1053
1/27/2022,Alaska,738432,0,0,205239,1053
1/28/2022,Alaska,738432,5878,4,211117,1057
1/29/2022,Alaska,738432,0,0,211117,1057
1/30/2022,Alaska,738432,0,0,211117,1057
1/31/2022,Alaska,738432,4526,0,215643,1057
2/1/2022,Alaska,738432,0,0,215643,1057
2/2/2022,Alaska,738432,4124,7,219767,1064
2/3/2022,Alaska,738432,0,0,219767,1064
2/4/2022,Alaska,738432,3806,0,223573,1064
2/5/2022,Alaska,738432,0,0,223573,1064
2/6/2022,Alaska,738432,0,0,223573,1064
2/7/2022,Alaska,738432,3043,0,226616,1064
2/8/2022,Alaska,738432,0,0,226616,1064
7/1/2021,Alabama,5024279,0,0,550983,11352
7/2/2021,Alabama,5024279,315,6,551298,11358
7/3/2021,Alabama,5024279,0,0,551298,11358
