Date,State,Population,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients
7/1/2021,Alaska,738432,2,1635,19,10
7/2/2021,Alaska,738432,2,1637,23,9
7/3/2021,Alaska,738432,2,1639,22,7
7/4/2021,Alaska,738432,5,1644,23,6
7/5/2021,Alaska,738432,1,1645,26,8
7/6/2021,Alaska,738432,4,1649,21,7
7/7/2021,Alaska,738432,3,1652,29,7
7/8/2021,Alaska,738432,3,1655,32,6
7/9/2021,Alaska,738432,6,1661,34,6
7/10/2021,Alaska,738432,8,1669,38,10
7/11/2021,Alaska,738432,3,1672,45,12
7/12/2021,Alaska,738432,5,1677,41,10
7/13/2021,Alaska,738432,5,1682,55,12
7/14/2021,Alaska,738432,5,1687,55,13
7/15/2021,Alaska,738432,6,1693,58,16
7/16/2021,Alaska,738432,6,1699,62,16
7/17/2021,Alaska,738432,5,1704,59,16
7/18/2021,Alaska,738432,6,1710,60,18
7/19/2021,Alaska,738432,5,1715,64,18
7/20/2021,Alaska,738432,5,1720,74,20
7/21/2021,Alaska,738432,7,1727,69,19
7/22/2021,Alaska,738432,10,1737,82,19
7/23/2021,Alaska,738432,5,1742,93,22
7/24/2021,Alaska,738432,5,1747,98,23
7/25/2021,Alaska,738432,7,1754,96,21
7/26/2021,Alaska,738432,4,1758,96,23
7/27/2021,Alaska,738432,7,1765,96,21
7/28/2021,Alaska,738432,12,1777,102,23
7/29/2021,Alaska,738432,11,1788,108,26
7/30/2021,Alaska,738432,6,1794,107,29
7/31/2021,Alaska,738432,5,1799,105,29
8/1/2021,Alaska,738432,12,1811,106,30
8/2/2021,Alaska,738432,7,1818,99,29
8/3/2021,Alaska,738432,10,1828,103,28
8/4/2021,Alaska,738432,10,1838,102,24
8/5/2021,Alaska,738432,6,1844,102,27
8/6/2021,Alaska,738432,11,1855,98,26
8/7/2021,Alaska,738432,7,1862,98,23
8/8/2021,Alaska,738432,5,1867,103,23
8/9/2021,Alaska,738432,9,1876,119,19
8/10/2021,Alaska,738432,7,1883,123,18
8/11/2021,Alaska,738432,9,1892,127,19
8/12/2021,Alaska,738432,7,1899,118,27
